"","Date","Bedfordshire and Hertfordshire","West Midlands","Herefordshire, Worcestershire and Warwickshire","Shropshire and Staffordshire","Gloucestershire, Wiltshire and Bristol/Bath area","Dorset and Somerset","Lancashire","North Yorkshire","West Yorkshire","Hampshire and Isle of Wight","Greater Manchester","Surrey, East and West Sussex","Outer London - South","Inner London - East","Kent","Outer London - East and North East","Cumbria","Northumberland and Tyne and Wear","East Anglia","Essex","East Wales","West Wales and The Valleys","Cheshire","Merseyside","Leicestershire, Rutland and Northamptonshire","Derbyshire and Nottinghamshire","Tees Valley and Durham","South Yorkshire","East Yorkshire and Northern Lincolnshire","Lincolnshire","Devon","Inner London - West","Outer London - West and North West","Cornwall and Isles of Scilly","Berkshire, Buckinghamshire and Oxfordshire"
"36","1998-01-01",1.2408,1.0921,1.1504,1.1049,1.1895,1.211,1.0452,1.0995,1.0382,1.2218,1.0834,1.258,1.2871,1.3312,1.1963,1.2497,1.0831,1.069,1.1506,1.1991,1.1157,1.0566,1.1058,1.0519,1.1457,1.071,1.0354,1.0428,1.0144,1.0915,1.1177,1.3605,1.3176,1.1751,1.2626
"37","1998-02-01",1.2646,1.1095,1.1686,1.1074,1.2006,1.2126,1.0411,1.1013,1.0566,1.2304,1.0858,1.2657,1.2926,1.3276,1.202,1.2568,1.1009,1.0896,1.154,1.2049,1.1096,1.0627,1.1252,1.0678,1.1525,1.0784,1.0391,1.0656,1.0061,1.0987,1.1289,1.383,1.3298,1.1846,1.2809
"38","1998-03-01",1.261,1.109,1.1689,1.1087,1.214,1.2133,1.0419,1.099,1.0663,1.242,1.0891,1.2742,1.3057,1.3629,1.2163,1.2741,1.0915,1.0861,1.1547,1.2139,1.1349,1.0662,1.129,1.0689,1.168,1.0786,1.0282,1.056,1.025,1.0976,1.1278,1.4058,1.3536,1.2189,1.2874
"39","1998-04-01",1.2758,1.1083,1.1789,1.1172,1.2308,1.2264,1.0498,1.1097,1.0606,1.2561,1.0906,1.2896,1.3301,1.3743,1.2245,1.2766,1.1123,1.0809,1.1672,1.2296,1.1349,1.0664,1.1329,1.0639,1.178,1.089,1.0442,1.0575,1.0236,1.1029,1.1341,1.4083,1.3588,1.2118,1.3028
"40","1998-05-01",1.2924,1.1244,1.1855,1.1237,1.2306,1.243,1.048,1.1219,1.0648,1.2676,1.0904,1.3028,1.3467,1.4045,1.2323,1.302,1.117,1.0908,1.176,1.2391,1.1445,1.0772,1.1429,1.0585,1.1922,1.0938,1.0447,1.06,1.0334,1.1092,1.1464,1.4275,1.3785,1.2073,1.3223
"41","1998-06-01",1.3041,1.1322,1.2002,1.1276,1.2507,1.2449,1.0689,1.1181,1.0705,1.2717,1.1039,1.3217,1.3572,1.4326,1.2508,1.3088,1.124,1.0988,1.1923,1.2565,1.1392,1.0891,1.1559,1.0751,1.1925,1.0962,1.0469,1.0749,1.0353,1.1091,1.1473,1.4253,1.4017,1.241,1.3318
"42","1998-07-01",1.3186,1.1406,1.2001,1.1341,1.2504,1.2599,1.0537,1.1347,1.0756,1.2848,1.1039,1.3258,1.3606,1.4166,1.2486,1.3164,1.1168,1.0949,1.195,1.2582,1.1474,1.0883,1.151,1.0659,1.2019,1.1015,1.0441,1.0694,1.0276,1.1248,1.1669,1.4561,1.4181,1.2446,1.3412
"43","1998-08-01",1.3276,1.1333,1.2153,1.1529,1.2709,1.2682,1.0528,1.134,1.0776,1.2937,1.1024,1.3388,1.378,1.4432,1.2622,1.3325,1.1292,1.097,1.2054,1.267,1.1494,1.0845,1.162,1.0677,1.2112,1.1038,1.0441,1.0718,1.0238,1.1197,1.1705,1.4575,1.4364,1.2579,1.3528
"44","1998-09-01",1.331,1.1486,1.2208,1.1343,1.2711,1.2823,1.0597,1.1388,1.0868,1.2981,1.1119,1.3505,1.379,1.4482,1.2741,1.3367,1.138,1.1087,1.2151,1.2811,1.1531,1.0931,1.1653,1.0745,1.2197,1.1145,1.0479,1.0951,1.0339,1.1255,1.1659,1.4848,1.4286,1.2672,1.3541
"45","1998-10-01",1.3373,1.1599,1.2311,1.1424,1.2827,1.2821,1.0647,1.1341,1.0871,1.3074,1.1169,1.3455,1.404,1.4489,1.2737,1.3507,1.1426,1.12,1.2194,1.2773,1.1697,1.0996,1.1721,1.0938,1.2252,1.1138,1.0636,1.0815,1.0293,1.1392,1.1771,1.4708,1.4367,1.2681,1.3609
"46","1998-11-01",1.3462,1.1514,1.2278,1.1551,1.2882,1.2865,1.0707,1.1564,1.0928,1.3139,1.1231,1.3645,1.4055,1.4455,1.2827,1.3536,1.1465,1.1217,1.2213,1.283,1.1731,1.1035,1.1765,1.0912,1.2273,1.1275,1.0631,1.078,1.0278,1.1419,1.1795,1.4614,1.4399,1.258,1.3743
"47","1998-12-01",1.3635,1.1644,1.237,1.1632,1.3035,1.2902,1.0745,1.146,1.0958,1.3207,1.1321,1.3697,1.4044,1.4628,1.2926,1.3715,1.1417,1.128,1.2375,1.3031,1.1796,1.1098,1.1867,1.0816,1.2343,1.131,1.0695,1.0889,1.0447,1.1555,1.1894,1.4797,1.4651,1.271,1.3841
"48","1999-01-01",1.3559,1.1526,1.2369,1.1652,1.3012,1.2913,1.0758,1.1506,1.0892,1.3164,1.1293,1.3544,1.4056,1.4672,1.2955,1.3607,1.1653,1.1185,1.2345,1.2977,1.171,1.1093,1.1853,1.087,1.2329,1.1246,1.0618,1.0901,1.0229,1.1417,1.1886,1.4628,1.448,1.2874,1.3801
"49","1999-02-01",1.3561,1.1804,1.2483,1.1667,1.3024,1.2909,1.0787,1.1426,1.0877,1.3279,1.1398,1.367,1.4156,1.4801,1.3062,1.3609,1.1453,1.1186,1.2397,1.2896,1.1743,1.1045,1.1963,1.0993,1.2417,1.131,1.0599,1.096,1.0392,1.1427,1.1954,1.4914,1.4608,1.2931,1.3856
"50","1999-03-01",1.3663,1.1739,1.2542,1.1717,1.3138,1.3097,1.0795,1.1644,1.0995,1.332,1.1387,1.3816,1.4362,1.4928,1.297,1.3725,1.1528,1.1311,1.2428,1.3207,1.1924,1.103,1.2051,1.1006,1.2537,1.142,1.0579,1.0983,1.0404,1.1539,1.202,1.4996,1.4793,1.3088,1.4
"51","1999-04-01",1.3821,1.1832,1.2712,1.1769,1.3327,1.326,1.0866,1.1601,1.1046,1.3532,1.1495,1.3983,1.4488,1.5155,1.3155,1.3859,1.1505,1.1486,1.2586,1.3198,1.2027,1.1225,1.222,1.1091,1.2699,1.141,1.0662,1.1055,1.0512,1.1603,1.2087,1.5124,1.4885,1.2997,1.4117
